Дата;Средняя цена авокадо в США (в долларах);Общее количество проданных авокадо (в фунтах);"Количество запросов ""Здоровая еда""";"Количество запросов по слову ""Авокадо""";Температура (отклонение от средней)
31.01.2015;1,365046296;318085209,6;70,5;67;0,9
28.02.2015;1,326944444;362637599,2;63,25;61,75;0,63
31.03.2015;1,361981481;418583069,8;63,4;60,2;0,67
30.04.2015;1,383449074;344144395,2;63,75;62;0,97
31.05.2015;1,344685185;483784044,8;62,4;65,6;0,8
30.06.2015;1,399074074;381826743,7;58;65,5;0,82
31.07.2015;1,409444444;356701872,6;60,5;65,75;0,88
31.08.2015;1,444481481;419244814,8;55,4;61,4;1,22
30.09.2015;1,449143519;329218833,1;57,75;50,75;0,99
31.10.2015;1,391967593;305776111;59;49,5;1,12
30.11.2015;1,330611111;369440036,4;53,6;45,4;1,5
31.12.2015;1,305243619;296025931,9;49,75;50,5;1,43
31.01.2016;1,240185185;475405765,6;73,8;74,8;0,78
29.02.2016;1,237106481;428645802;70,75;75;0,93
31.03.2016;1,224212963;391212408,3;65,75;76;0,48
30.04.2016;1,205023148;401832751,8;70,75;80,25;0,69
31.05.2016;1,199722222;561230530,6;65,6;83,8;0,85
30.06.2016;1,283055556;410328154,1;62;73,5;0,58
31.07.2016;1,401333333;467275344,2;59,6;69;0,5
31.08.2016;1,411111111;370796967;57,75;60,75;0,58
30.09.2016;1,42787037;362303275,5;59,75;55,5;0,67
31.10.2016;1,557092593;360201804,3;60,6;48,8;0,99
30.11.2016;1,550023148;260209336,7;56;43;0,91
31.12.2016;1,31599537;331447751,9;54,5;48,75;0,84
31.01.2017;1,2775;533333033,4;86,8;77,2;0,69
28.02.2017;1,214791667;471467199,8;78,5;72,25;0,6
31.03.2017;1,398935185;358903381,7;81;69;0,98
30.04.2017;1,502611111;489814529,5;78;73;0,39
31.05.2017;1,532592593;425730541,6;74,5;77,5;0,14
30.06.2017;1,545395349;410410651;75,5;75,25;0,35
31.07.2017;1,564925926;474903710,4;77,6;76,6;0,35
31.08.2017;1,698958333;338332990,2;70,5;68,5;0,68
30.09.2017;1,840949074;284779536,3;68,25;57;0,45
31.10.2017;1,752444444;362777956,7;70,2;53;0,69
30.11.2017;1,517291667;324519308,5;63,75;52;1,06
31.12.2017;1,363851852;459332860;64,2;61,4;0,78
31.01.2018;1,387430556;429707083,6;91,75;82,5;0,64
28.02.2018;1,318703704;497778196,4;87,5;82;0,88
31.03.2018;1,336458333;455253060,2;86,75;81,25;0,92
